ns3,omnet,geom,seed,dist,att_ns3,att_omnet
0.09959402638828477,0.06018580493159487,intersection,3,160,68970,74702
0.09586585299603426,0.05268105787821275,intersection,3,170,55223,56377
0.09857948821277453,0.04511888938118446,intersection,3,180,39704,40626
0.10831597500400576,0.037917716204869854,intersection,3,190,24964,29775
0.09106155661842351,0.029927076427692018,intersection,3,200,16099,21118
0.08482301830353964,0.027593254982115484,intersection,3,210,14041,19570
0.07831628374979037,0.018198417528910528,intersection,3,220,11926,16430
0.08411128570108144,0.017511641634419886,intersection,3,230,10819,15247
0.0738997411155566,0.014364303178484108,intersection,3,240,8498,13088
0.06752618855761483,0.010945666107878907,intersection,3,250,6205,10141
0.06526806526806526,0.01013739946380697,intersection,3,260,5148,11936
0.0677746039989613,0.009561238854997654,intersection,3,270,3851,17048
0.07373737373737374,0.0062983624257693,intersection,3,280,2970,11114
0.06484962406015038,0.005973349670699954,intersection,3,290,2128,6529
0.7024159600627955,0.7589188125737769,intersection,4,0,215939,182984
0.514100721915413,0.6586635016502326,intersection,4,10,346578,342073
0.36178242923025966,0.5088625580229135,intersection,4,20,313976,311084
0.26054072294203545,0.4055835380835381,intersection,4,30,343762,325600
0.19613063299199393,0.3264836768038197,intersection,4,40,364349,354373
0.15844533991940726,0.26790084191324326,intersection,4,50,384650,380443
0.13428348362011913,0.22264907902064726,intersection,4,60,386816,387848
0.11834985637693816,0.18788187248716032,intersection,4,70,404183,410641
0.11293806009763002,0.1635836696136114,intersection,4,80,384308,389556
0.10588175421397596,0.14103621998254776,intersection,4,90,373341,379321
0.09564849235190537,0.12255096058516042,intersection,4,100,311777,325791
0.09281433729701118,0.10464991017100522,intersection,4,110,264485,287769
0.0867170177383592,0.09168681731009756,intersection,4,120,230912,239860
0.08556846141910314,0.08294184008008178,intersection,4,130,180452,188807
0.08801771002634086,0.07446334728778836,intersection,4,140,142744,145951
0.09801302222486097,0.07012145902775799,intersection,4,150,101058,105303
0.09424875470163668,0.06149000920050013,intersection,4,160,78696,84778
0.08629740181446573,0.05457210348066141,intersection,4,170,68009,70274
0.08893895290880817,0.04507466012926231,intersection,4,180,50158,53844
