timeMs,cellId,rnti,bwpId,frame,subFrame,slot,txRnti,srcL2Id,dstL2Id,psschRbStart,psschRbLen,psschSymStart,psschSymLen,psschMcs,ndi,rv,tbSizeBytes,avrgSinr,minSinr,psschTbler,psschCorrupt,sci2Tbler,sci2Corrupt,SEED,RUN
7885.928563,0,82,0,788,5,0,3,3,255,0,20,1,12,14,1,0,291,1168.7685674362478,1115.6304761165472,0,0,0,0,1,1
7905.9285629999995,0,66,0,790,5,0,4,4,255,30,20,1,12,14,1,0,291,81.91696402661383,51.111365030521455,0,0,0,0,1,1
7985.9285629999995,0,45,0,798,5,0,3,3,255,0,20,1,12,14,1,0,291,109112.17983912358,103194.01642256195,0,0,0,0,1,1
8005.9285629999995,0,30,0,800,5,0,4,4,255,30,20,1,12,14,1,0,291,322.8337596871418,276.7674335632219,0,0,0,0,1,1
8085.9285629999995,0,5,0,808,5,0,3,3,255,0,20,1,12,14,1,0,291,333058.6212768715,326053.62305385864,0,0,0,0,1,1
8097.928563,0,87,0,809,7,0,2,2,255,0,20,1,12,14,1,0,291,225.28407924013564,71.31009840660677,0,0,0,0,1,1
8167.928563,0,63,0,816,7,0,1,1,255,0,20,1,12,14,1,0,291,76.87732924264415,25.56885144938387,0,0,0,0,1,1
8198.928563000001,0,48,0,819,8,0,2,2,255,10,20,1,12,14,1,0,291,130.36886646569187,31.199773180993965,0,0,0,0,1,1
8267.928563,0,20,0,826,7,0,1,1,255,0,20,1,12,14,1,0,291,57.89154184469688,34.789270534233765,0,0,0,0,1,1
8298.928563000001,0,3,0,829,8,0,2,2,255,10,20,1,12,14,1,0,291,147705.16227646035,138777.37324002545,0,0,0,0,1,1
8304.928563000001,0,82,0,830,4,0,4,4,255,0,20,1,12,14,1,0,291,666.068006648337,485.94350871736697,0,0,0,0,1,1
8385.928563,0,55,0,838,5,0,3,3,255,0,20,1,12,14,1,0,291,7.623486272370234,3.0608040164978556,1,1,0,0,1,1
8404.928563,0,39,0,840,4,0,4,4,255,0,20,1,12,14,1,0,291,45.76941454483435,36.358591901082555,0,0,0,0,1,1
8485.928563,0,11,0,848,5,0,3,3,255,0,20,1,12,14,1,0,291,239.4604360408004,115.5667080213148,0,0,0,0,1,1
8498.928563,0,95,0,849,8,0,2,2,255,10,20,1,12,14,1,0,291,500.8377371554757,380.32050377132225,0,0,0,0,1,1
8567.928563000001,0,67,0,856,7,0,1,1,255,0,20,1,12,14,1,0,291,437.5036444950906,193.15795173940515,0,0,0,0,1,1
8598.928563,0,51,0,859,8,0,2,2,255,10,20,1,12,14,1,0,291,4964.101022891288,2711.0592297388566,0,0,0,0,1,1
8666.928563000001,0,27,0,866,6,0,1,1,255,20,20,1,12,14,1,0,291,495.47772580543125,345.0098730334723,0,0,0,0,1,1
8698.928563,0,10,0,869,8,0,2,2,255,10,20,1,12,14,1,0,291,4560.198497744803,3481.964896064661,0,0,0,0,1,1
8704.928563,0,86,0,870,4,0,4,4,255,0,20,1,12,14,1,0,291,2050.938710164208,1687.613336428066,0,0,0,0,1,1
8785.928563000001,0,56,0,878,5,0,3,3,255,0,20,1,12,14,1,0,291,2764.028706778753,1111.010340471553,0,0,0,0,1,1
8804.928563000001,0,43,0,880,4,0,4,4,255,0,20,1,12,14,1,0,291,31.714042691600167,5.910497732221148,0,0,0,0,1,1
8885.928563,0,13,0,888,5,0,3,3,255,0,20,1,12,14,1,0,291,37821.111931831445,35869.69977881298,0,0,0,0,1,1
8898.928563,0,49,0,889,8,0,2,2,255,10,20,1,12,14,1,0,291,239.72795123001205,114.649691478535,0,0,0,0,1,1
8966.928563,0,64,0,896,6,0,1,1,255,20,20,1,12,14,1,0,291,63.54514505623679,54.67612160955128,0,0,0,0,1,1
8998.928563,0,26,0,899,8,0,2,2,255,10,20,1,12,14,1,0,291,17.30511220655979,4.594902817841886,0,0,0,0,1,1
9066.928563,0,26,0,906,6,0,1,1,255,20,20,1,12,14,1,0,291,31.995469002338446,4.033175889873942,0,0,0,0,1,1
9098.928563,0,8,0,909,8,0,4,4,255,30,20,1,12,14,1,0,291,250.84029757660792,222.94148875213466,0,0,0,0,1,1
9098.928563,0,96,0,909,8,0,2,2,255,10,20,1,12,14,1,0,291,259.60893154422206,93.96051517958796,0,0,0,0,1,1
9179.928563000001,0,70,0,917,9,0,3,3,255,0,20,1,12,14,1,0,291,12572.543744301403,9382.789687389677,0,0,0,0,1,1
9198.928563000001,0,76,0,919,8,0,4,4,255,30,20,1,12,14,1,0,291,118.54823869925733,81.10224494468736,0,0,0,0,1,1
9279.928563,0,30,0,927,9,0,3,3,255,0,20,1,12,14,1,0,291,1154.044867386641,610.4776749550849,0,0,0,0,1,1
9298.928563000001,0,57,0,929,8,0,4,4,255,30,20,1,12,14,1,0,291,12.848821272820384,6.710691891243039,0,0,0,0,1,1
9366.928563,0,88,0,936,6,0,1,1,255,20,20,1,12,14,1,0,291,392.9671404800905,34.59857022044038,0,0,0,0,1,1
9398.928563,0,39,0,939,8,0,2,2,255,10,20,1,12,14,1,0,291,32.503892313067865,3.901670193805258,0.0001,0,0,0,1,1
9466.928563,0,50,0,946,6,0,1,1,255,20,20,1,12,14,1,0,291,292.3009051120462,97.78398246278958,0,0,0,0,1,1
9498.928563,0,19,0,949,8,0,2,2,255,10,20,1,12,14,1,0,291,2314.093703608717,2062.3054780583207,0,0,0,0,1,1
9566.928563,0,13,0,956,6,0,1,1,255,20,20,1,12,14,1,0,291,3347.596888614946,3059.9910939346814,0,0,0,0,1,1
9579.928563,0,95,0,957,9,0,3,3,255,0,20,1,12,14,1,0,291,123.66725098443837,61.567914211165565,0,0,0,0,1,1
9598.928563,0,91,0,959,8,0,4,4,255,30,20,1,12,14,1,0,291,499.7620803633919,394.77311477977497,0,0,0,0,1,1
9679.928563000001,0,58,0,967,9,0,3,3,255,0,20,1,12,14,1,0,291,3.3278030232749414,1.5356850193050628,1,1,0,0,1,1
9698.928563,0,41,0,969,8,0,4,4,255,30,20,1,12,14,1,0,291,0.005858773389316632,0.0004989482862993448,-1,1,1,1,1,1
9779.928563,0,16,0,977,9,0,3,3,255,0,20,1,12,14,1,0,291,49.29547969692935,37.72851237775942,0,0,0,0,1,1
9797.928563,0,94,0,979,7,0,2,2,255,20,20,1,12,14,1,0,291,633.3433745457099,589.2998941438732,0,0,0,0,1,1
9867.928563,0,68,0,986,7,0,1,1,255,30,20,1,12,14,1,0,291,67.47147474537948,1.578793447126337,0.0001,0,0,0,1,1
9897.928563000001,0,54,0,989,7,0,2,2,255,20,20,1,12,14,1,0,291,163.3777237728272,68.41629411254475,0,0,0,0,1,1
9967.928563,0,29,0,996,7,0,1,1,255,30,20,1,12,14,1,0,291,4812.291318297341,4688.174017055111,0,0,0,0,1,1
9997.928563,0,16,0,999,7,0,2,2,255,20,20,1,12,14,1,0,291,157.6116463332566,47.051767258225894,0,0,0,0,1,1
10007.928563,0,12,0,1000,7,0,4,4,255,0,20,1,12,14,0,1,291,416.6873606176002,394.1726464026015,0,0,0,0,1,1
10079.928563,0,70,0,1007,9,0,3,3,255,0,20,1,12,14,1,0,291,24091.202519312792,22242.864729207377,0,0,0,0,1,1
10117.928563,0,50,0,1011,7,0,4,4,255,30,20,1,12,14,1,0,291,314.6582005901711,283.84052558125995,0,0,0,0,1,1
